movie_block,review_block,seconds,prompt_tokens,completion_tokens,matches
1,102,0.692,2305,15,0
1,103,0.740,2045,20,0
1,104,0.768,2234,20,0
1,105,0.761,2291,21,0
1,106,0.780,2245,20,0
1,107,0.760,2360,20,0
1,108,0.734,2470,20,0
1,109,0.750,2184,20,0
1,110,0.768,2329,20,0
1,111,0.783,2027,29,0
1,112,0.703,2196,20,0
1,113,0.738,2245,29,0
1,114,0.705,2115,20,0
1,115,0.765,2132,29,0
1,116,0.728,1990,29,0
1,117,0.767,2441,21,0
1,118,0.713,2107,20,0
1,119,0.795,2225,34,0
1,120,0.709,1960,29,0
1,121,0.764,2370,22,0
1,122,0.719,2523,20,0
1,123,0.661,2002,20,0
1,124,0.746,2307,16,0
1,125,0.702,2583,20,0
1,126,0.688,2111,37,0
1,127,0.843,2710,32,0
1,128,0.736,2135,20,0
1,129,0.740,2246,20,0
1,130,0.840,2440,38,0
1,131,0.745,2246,17,0
1,132,0.733,2374,20,0
1,133,0.735,2485,20,0
1,134,0.728,1795,29,0
1,135,0.685,2500,20,0
1,136,0.762,2163,29,0
1,137,0.688,1997,29,0
1,138,0.757,2261,20,0
1,139,0.747,2225,20,0
1,140,0.734,2254,20,0
1,141,0.731,2330,20,0
1,142,0.669,1963,20,0
1,143,0.723,2340,20,0
1,144,0.784,2476,21,0
1,145,0.795,2755,21,0
1,146,0.762,2229,20,0
1,147,0.754,2267,21,0
1,148,0.722,2332,22,0
1,149,0.774,2398,20,0
1,150,0.712,2147,20,0
1,151,0.804,2222,36,0
1,152,0.746,2163,20,0
1,153,0.704,2232,20,0
1,154,0.664,2118,20,0
1,155,0.649,2065,20,0
1,156,0.758,2343,20,0
1,157,0.686,2032,20,0
1,158,0.703,2086,20,0
1,159,0.752,2710,21,0
1,160,0.742,1932,20,0
1,161,0.743,1860,29,0
1,162,0.720,2083,29,0
1,163,0.775,2474,21,0
1,164,0.861,2426,21,0
1,165,0.752,2214,20,0
1,166,0.686,1795,17,0
1,167,0.740,2134,20,0
1,168,0.746,2330,26,0
1,169,0.752,2280,20,0
1,170,0.773,2430,21,0
1,171,0.744,2051,20,0
1,172,0.726,2032,29,0
1,173,0.787,2515,22,0
1,174,0.712,1706,17,0
1,175,0.740,2191,20,0
1,176,0.660,2136,20,0
1,177,0.730,2035,20,0
1,178,0.713,1962,20,0
1,179,0.811,2305,37,0
1,180,0.774,2165,26,0
1,181,0.697,2290,20,0
1,182,0.814,2487,26,0
1,183,0.748,1715,29,0
1,184,0.683,2100,33,0
1,185,0.736,2041,20,0
1,186,0.713,2294,20,0
1,187,0.647,1669,17,0
1,188,0.777,2216,33,0
1,189,0.744,2129,20,0
1,190,0.756,2386,21,0
1,191,0.748,2067,20,0
1,192,0.748,2299,20,0
1,193,0.820,2521,29,0
1,194,0.743,2063,29,0
1,195,0.690,2057,20,0
1,196,0.696,2136,20,0
1,197,0.765,2426,21,0
1,198,0.711,2274,21,0
1,199,0.732,1658,25,0
1,200,0.734,2450,16,0
1,201,0.658,1686,17,0
1,202,0.741,2312,22,0
1,203,0.721,2069,20,0
1,204,0.699,1887,29,0
1,205,0.752,2335,20,0
1,206,0.719,2461,20,0
1,207,0.792,2467,21,0
1,208,0.794,2542,21,0
1,209,0.678,1939,20,0
1,210,0.746,2061,20,0
1,211,0.754,2298,20,0
1,212,0.747,2577,20,0
1,213,0.770,2536,20,0
1,214,0.814,2305,34,0
1,215,0.725,2385,20,0
1,216,0.674,2569,20,0
1,217,0.776,2564,19,0
1,218,0.750,2146,20,0
1,219,0.790,2253,29,0
1,220,0.773,2290,20,0
1,221,0.755,2134,20,0
1,222,0.725,1966,25,0
1,223,0.718,2055,22,0
1,224,0.770,2514,21,0
1,225,0.689,1643,17,0
1,226,0.730,2503,20,0
1,227,0.765,2181,20,0
1,228,0.792,2394,20,0
1,229,0.726,2053,29,0
1,230,0.764,2341,37,0
1,231,0.677,1956,20,0
1,232,0.720,2017,20,0
1,233,0.760,2606,21,0
1,234,0.732,2006,20,0
1,235,0.746,2259,20,0
1,236,0.741,2164,20,0
1,237,0.769,2432,21,0
1,238,0.779,2603,20,0
1,239,0.720,1803,17,0
1,240,0.746,2175,29,0
1,241,0.734,2047,29,0
1,242,0.806,2154,37,0
1,243,0.769,2191,20,0
1,244,0.780,2091,29,0
1,245,0.768,2436,22,0
1,246,0.656,2332,21,0
1,247,0.767,1947,33,0
1,248,0.722,2242,21,0
1,249,0.750,2325,20,0
1,250,0.789,2381,27,0
2,1,0.748,2088,22,0
2,2,0.684,2035,29,0
2,3,0.732,2109,20,0
2,4,0.763,2289,20,0
2,5,0.736,2361,20,0
2,6,0.757,2376,22,0
2,7,0.715,1549,22,0
2,8,0.775,2548,22,0
2,9,0.710,1641,18,0
2,10,0.717,2341,21,0
2,11,0.745,2381,20,0
2,12,0.778,2208,20,0
2,13,0.707,1918,20,0
2,14,0.717,2260,20,0
2,15,0.645,2360,20,0
2,16,0.708,2285,20,0
2,17,0.662,2388,17,0
2,18,0.709,1946,20,0
2,19,0.784,2094,34,0
2,20,0.777,2352,27,0
2,21,0.692,2053,22,0
2,22,0.732,2326,22,0
2,23,0.778,2180,30,0
2,24,0.788,2545,21,0
2,25,0.746,2017,20,0
2,26,0.742,2127,20,0
2,27,0.721,2064,20,0
2,28,0.771,2566,21,0
2,29,0.716,1958,20,0
2,30,0.775,2797,21,0
2,31,0.750,2130,20,0
2,32,0.700,2338,20,0
2,33,0.712,1944,20,0
2,34,0.766,2369,20,0
2,35,0.791,2796,21,0
2,36,0.781,2334,21,0
2,37,0.726,2284,20,0
2,38,0.737,2316,20,0
2,39,0.732,2514,16,0
2,40,0.757,1822,29,0
2,41,0.762,2407,20,0
2,42,0.721,2274,20,0
2,43,0.765,2489,21,0
2,44,0.731,2278,20,0
2,45,0.772,2191,36,0
2,46,0.774,2333,22,0
2,47,0.739,2603,20,0
2,48,0.785,2360,22,0
2,49,0.737,1977,20,0
2,50,0.740,2194,18,0
2,51,0.724,2246,22,0
2,52,0.750,2172,20,0
2,53,0.771,2073,29,0
2,54,0.720,2016,16,0
2,55,0.788,2162,31,0
2,56,0.752,2266,21,0
2,57,0.725,2429,21,0
2,58,0.761,2149,20,0
2,59,0.755,2315,20,0
2,60,0.710,1660,17,0
2,61,0.724,2054,20,0
2,62,0.796,2623,21,0
2,63,0.716,1769,25,0
2,64,0.709,2267,22,0
2,65,0.689,2163,17,0
2,66,0.742,2266,18,0
2,67,0.682,2233,20,0
2,68,0.671,2012,20,0
2,69,0.765,2076,29,0
2,70,0.730,2202,21,0
2,71,0.704,1838,17,0
2,72,0.753,2277,20,0
2,73,0.793,2791,21,0
2,74,0.803,1940,42,0
2,75,0.743,2326,20,0
2,76,0.731,2275,17,0
2,77,0.721,2365,20,0
2,78,0.732,2550,20,0
2,79,0.727,1908,29,0
2,80,0.670,1977,20,0
2,81,0.788,2341,29,0
2,82,0.760,2250,21,0
2,83,0.746,2040,20,0
2,84,0.716,2175,21,0
2,85,0.772,2449,21,0
2,86,0.804,2586,21,0
2,87,0.771,1902,29,0
2,88,0.736,1767,29,0
2,89,0.670,1654,17,0
2,90,0.757,1994,29,0
2,91,0.660,2297,17,0
2,92,0.770,2405,22,0
2,93,0.760,2410,20,0
2,94,0.754,2767,21,0
2,95,0.764,2454,22,0
2,96,0.717,2078,20,0
2,97,0.776,2561,21,0
2,98,0.718,1754,22,0
2,99,0.686,2139,20,0
2,100,0.721,2215,21,0
2,101,0.732,2178,22,0
2,102,0.683,2312,22,0
2,103,0.759,2052,20,0
2,104,0.710,2241,20,0
2,105,0.720,2298,21,0
2,106,0.808,2252,34,0
2,107,0.713,2367,20,0
2,108,0.780,2477,22,0
2,109,0.761,2191,20,0
2,110,0.762,2336,21,0
2,111,0.779,2034,29,0
2,112,0.732,2203,20,0
2,113,0.760,2252,36,0
2,114,0.737,2122,20,0
2,115,0.771,2139,29,0
2,116,0.713,1997,20,0
2,117,0.720,2448,21,0
2,118,0.747,2114,20,0
2,119,0.766,2232,34,0
2,120,0.760,1967,29,0
2,121,0.723,2377,21,0
2,122,0.731,2530,21,0
2,123,0.754,2009,20,0
2,124,0.759,2314,29,0
2,125,0.791,2590,22,0
2,126,0.702,2118,20,0
2,127,0.777,2717,21,0
2,128,0.765,2142,20,0
2,129,0.694,2253,17,0
2,130,0.687,2447,21,0
2,131,0.769,2253,22,0
2,132,0.771,2381,20,0
2,133,0.714,2492,20,0
2,134,0.678,1802,17,0
2,135,0.728,2507,22,0
2,136,0.755,2170,20,0
2,137,0.762,2004,29,0
2,138,0.740,2268,20,0
2,139,0.748,2232,20,0
2,140,0.756,2261,20,0
2,141,0.721,2337,20,0
2,142,0.724,1970,17,0
2,143,0.711,2347,20,0
2,144,0.735,2483,20,0
2,145,0.795,2762,21,0
2,146,0.673,2236,20,0
2,147,0.771,2274,20,0
2,148,0.726,2339,22,0
2,149,0.762,2405,20,0
2,150,0.750,2154,20,0
2,151,0.744,2229,20,0
2,152,0.745,2170,20,0
2,153,0.706,2239,20,0
2,154,0.715,2125,20,0
2,155,0.739,2072,20,0
2,156,0.740,2350,20,0
2,157,0.734,2039,20,0
2,158,0.745,2093,20,0
2,159,0.797,2717,21,0
2,160,0.626,1939,17,0
2,161,0.712,1867,29,0
2,162,0.749,2090,29,0
2,163,0.760,2481,21,0
2,164,0.759,2433,21,0
2,165,0.742,2221,20,0
2,166,0.648,1802,17,0
2,167,0.682,2141,20,0
2,168,0.787,2337,26,0
2,169,0.758,2287,20,0
2,170,0.783,2437,21,0
2,171,0.754,2058,20,0
2,172,0.668,2039,20,0
2,173,0.741,2522,22,0
2,174,0.695,1713,17,0
2,175,0.685,2198,20,0
2,176,0.742,2143,20,0
2,177,0.743,2042,20,0
2,178,0.721,1969,20,0
2,179,0.815,2312,37,0
2,180,0.749,2172,26,0
2,181,0.752,2297,20,0
2,182,0.700,2494,26,0
2,183,0.727,1722,29,0
2,184,0.788,2107,34,0
2,185,0.696,2048,20,0
2,186,0.719,2301,20,0
2,187,0.691,1676,17,0
2,188,0.746,2223,20,0
2,189,0.734,2136,20,0
2,190,0.771,2393,21,0
2,191,0.755,2074,20,0
2,192,0.755,2306,20,0
2,193,0.767,2528,29,0
2,194,0.755,2070,20,0
2,195,0.753,2064,20,0
2,196,0.733,2143,26,0
2,197,0.775,2433,21,0
2,198,0.760,2281,20,0
2,199,0.728,1665,25,0
2,200,0.726,2457,21,0
2,201,0.704,1693,17,0
2,202,0.652,2319,22,0
2,203,0.671,2076,20,0
2,204,0.712,1894,20,0
2,205,0.714,2342,20,0
2,206,0.785,2468,21,0
2,207,0.757,2474,21,0
2,208,0.781,2549,17,0
2,209,0.733,1946,20,0
2,210,0.730,2068,20,0
2,211,0.689,2305,20,0
2,212,0.818,2584,27,0
2,213,0.790,2543,20,0
2,214,0.773,2312,22,0
2,215,0.772,2392,20,0
2,216,0.799,2576,20,0
2,217,0.810,2571,37,0
2,218,0.758,2153,20,0
2,219,0.743,2260,29,0
2,220,0.770,2297,20,0
2,221,0.751,2141,21,0
2,222,0.720,1973,20,0
2,223,0.776,2062,29,0
2,224,0.768,2521,21,0
2,225,0.711,1650,17,0
2,226,0.759,2510,20,0
2,227,0.771,2188,20,0
2,228,0.777,2401,20,0
2,229,0.743,2060,20,0
2,230,0.684,2348,26,0
2,231,0.714,1963,20,0
2,232,0.685,2024,20,0
2,233,0.787,2613,21,0
2,234,0.721,2013,20,0
2,235,0.669,2266,20,0
2,236,0.746,2171,20,0
2,237,0.728,2439,21,0
2,238,0.790,2610,22,0
2,239,0.655,1810,17,0
2,240,0.707,2182,21,0
2,241,0.673,2054,20,0
2,242,0.666,2161,18,0
2,243,0.746,2198,20,0
2,244,0.785,2098,31,0
2,245,0.770,2443,20,0
2,246,0.761,2339,21,0
2,247,0.691,1954,20,0
2,248,0.770,2249,25,0
2,249,0.764,2332,20,0
2,250,0.820,2388,31,0
3,1,0.753,2091,22,0
3,2,0.748,2038,20,0
3,3,0.692,2112,20,0
3,4,0.740,2292,17,0
3,5,0.854,2364,20,0
3,6,0.790,2379,20,0
3,7,0.676,1552,22,0
3,8,0.775,2551,20,0
3,9,0.705,1644,17,0
3,10,0.738,2344,21,0
3,11,0.774,2384,20,0
3,12,0.766,2211,22,0
3,13,0.729,1921,20,0
3,14,0.751,2263,21,0
3,15,0.745,2363,20,0
3,16,0.813,2288,35,0
3,17,0.760,2391,17,0
3,18,0.746,1949,29,0
3,19,0.767,2097,37,0
3,20,0.728,2355,27,0
3,21,0.708,2056,20,0
3,22,0.724,2329,22,0
3,23,0.747,2183,20,0
3,24,0.792,2548,26,0
3,25,0.662,2020,20,0
3,26,0.730,2130,20,0
3,27,0.726,2067,20,0
3,28,0.718,2569,21,0
3,29,0.680,1961,20,0
3,30,0.782,2800,21,0
3,31,0.760,2133,21,0
3,32,0.763,2341,20,0
3,33,0.733,1947,20,0
3,34,0.725,2372,20,0
3,35,0.797,2799,21,0
3,36,0.697,2337,22,0
3,37,0.710,2287,37,0
3,38,0.708,2319,22,0
3,39,0.723,2517,21,0
3,40,0.749,1825,22,0
3,41,0.690,2410,20,0
3,42,0.771,2277,21,0
3,43,0.795,2492,41,0
3,44,0.660,2281,20,0
3,45,0.744,2194,21,0
3,46,0.712,2336,20,0
3,47,0.715,2606,20,0
3,48,0.738,2363,22,0
3,49,0.686,1980,20,0
3,50,0.729,2197,18,0
3,51,0.716,2249,20,0
3,52,0.748,2175,22,0
3,53,0.768,2076,29,0
3,54,0.708,2019,16,0
3,55,0.776,2165,31,0
3,56,0.743,2269,20,0
3,57,0.765,2432,21,0
3,58,0.698,2152,18,0
3,59,0.766,2318,22,0
3,60,0.699,1663,17,0
3,61,0.726,2057,20,0
3,62,0.787,2626,21,0
3,63,0.739,1772,25,0
3,64,0.736,2270,22,0
3,65,0.738,2166,29,0
3,66,0.715,2269,20,0
3,67,0.732,2236,20,0
3,68,0.725,2015,29,0
3,69,0.775,2079,20,0
3,70,0.782,2205,20,0
3,71,0.705,1841,17,0
3,72,0.751,2280,20,0
3,73,0.815,2794,26,0
3,74,0.818,1943,38,0
3,75,0.727,2329,20,0
3,76,0.748,2278,17,0
3,77,0.767,2368,20,0
3,78,0.814,2553,29,0
3,79,0.714,1911,20,0
3,80,0.707,1980,20,0
3,81,0.756,2344,20,0
3,82,0.771,2253,26,0
3,83,0.675,2043,20,0
3,84,0.701,2178,21,0
3,85,0.774,2452,21,0
3,86,0.733,2589,22,0
3,87,0.736,1905,20,0
3,88,0.696,1770,29,0
3,89,0.653,1657,17,0
3,90,0.747,1997,29,0
3,91,0.720,2300,27,0
3,92,0.738,2408,21,0
3,93,0.775,2413,22,0
3,94,0.746,2770,21,0
3,95,0.684,2457,21,0
3,96,0.718,2081,20,0
3,97,0.746,2564,21,0
3,98,0.724,1757,17,0
3,99,0.735,2142,20,0
3,100,0.731,2218,20,0
3,101,0.782,2181,29,0
3,102,0.719,2315,22,0
3,103,0.795,2055,20,0
3,104,0.759,2244,20,0
3,105,0.725,2301,21,0
3,106,0.801,2255,34,0
3,107,0.749,2370,20,0
3,108,0.758,2480,21,0
3,109,0.717,2194,20,0
3,110,0.722,2339,21,0
3,111,0.774,2037,29,0
3,112,0.741,2206,20,0
3,113,0.809,2255,36,0
3,114,0.754,2125,21,0
3,115,0.777,2142,29,0
3,116,0.727,2000,21,0
3,117,0.777,2451,21,0
3,118,0.753,2117,20,0
3,119,0.738,2235,17,0
3,120,0.667,1970,29,0
3,121,0.726,2380,21,0
3,122,0.776,2533,21,0
3,123,0.734,2012,20,0
3,124,0.782,2317,29,0
3,125,0.786,2593,21,0
3,126,0.812,2121,37,0
3,127,0.819,2720,36,0
3,128,0.778,2145,29,0
3,129,0.792,2256,29,0
3,130,0.776,2450,21,0
3,131,0.763,2256,21,0
3,132,0.713,2384,20,0
3,133,0.790,2495,20,0
3,134,0.714,1805,17,0
3,135,0.720,2510,20,0
3,136,0.707,2173,20,0
3,137,0.770,2007,29,0
3,138,0.748,2271,20,0
3,139,0.756,2235,20,0
3,140,0.764,2264,21,0
3,141,0.750,2340,26,0
3,142,0.737,1973,20,0
3,143,0.749,2350,20,0
3,144,0.786,2486,21,0
3,145,0.813,2765,21,0
3,146,0.762,2239,20,0
3,147,0.762,2277,21,0
3,148,0.754,2342,21,0
3,149,0.744,2408,20,0
3,150,0.713,2157,20,0
3,151,0.731,2232,20,0
3,152,0.739,2173,29,0
3,153,0.748,2242,20,0
3,154,0.739,2128,20,0
3,155,0.735,2075,20,0
3,156,0.761,2353,20,0
3,157,0.762,2042,29,0
3,158,0.754,2096,21,0
3,159,0.732,2720,21,0
3,160,0.716,1942,29,0
3,161,0.684,1870,29,0
3,162,0.726,2093,22,0
3,163,0.760,2484,21,0
3,164,0.727,2436,21,0
3,165,0.716,2224,20,0
3,166,0.702,1805,17,0
3,167,0.728,2144,20,0
3,168,0.728,2340,22,0
3,169,0.767,2290,20,0
3,170,0.739,2440,20,0
3,171,0.743,2061,20,0
3,172,0.677,2042,20,0
3,173,0.748,2525,22,0
3,174,0.716,1716,17,0
3,175,0.771,2201,29,0
3,176,0.729,2146,20,0
3,177,0.755,2045,20,0
3,178,0.721,1972,20,0
3,179,0.804,2315,37,0
3,180,0.769,2175,26,0
3,181,0.753,2300,20,0
3,182,0.781,2497,20,0
3,183,0.746,1725,29,0
3,184,0.793,2110,34,0
3,185,0.738,2051,20,0
3,186,0.763,2304,20,0
3,187,0.662,1679,17,0
3,188,0.741,2226,20,0
3,189,0.760,2139,20,0
3,190,0.768,2396,21,0
3,191,0.759,2077,20,0
3,192,0.767,2309,20,0
3,193,0.753,2531,29,0
3,194,0.779,2073,29,0
3,195,0.740,2067,20,0
3,196,0.776,2146,31,0
3,197,0.780,2436,21,0
3,198,0.830,2284,36,0
3,199,0.759,1668,34,0
3,200,0.771,2460,21,0
3,201,0.719,1696,17,0
3,202,0.754,2322,22,0
3,203,0.735,2079,29,0
3,204,0.738,1897,29,0
3,205,0.697,2345,20,0
3,206,0.780,2471,20,0
3,207,0.789,2477,21,0
3,208,0.728,2552,17,0
3,209,0.717,1949,20,0
3,210,0.754,2071,20,0
3,211,0.753,2308,20,0
3,212,0.728,2587,17,0
3,213,0.785,2546,20,0
3,214,0.689,2315,22,0
3,215,0.714,2395,20,0
3,216,0.781,2579,20,0
3,217,0.704,2574,10,0
3,218,0.716,2156,20,0
3,219,0.709,2263,20,0
3,220,0.772,2300,25,0
3,221,0.739,2144,21,0
3,222,0.731,1976,25,0
3,223,0.733,2065,20,0
3,224,0.700,2524,21,0
3,225,0.699,1653,17,0
3,226,0.765,2513,20,0
3,227,0.752,2191,20,0
3,228,0.764,2404,20,0
3,229,0.783,2063,29,0
3,230,0.716,2351,27,0
3,231,0.722,1966,20,0
3,232,0.703,2027,29,0
3,233,0.733,2616,21,0
3,234,0.762,2016,29,0
3,235,0.752,2269,20,0
3,236,0.746,2174,20,0
3,237,0.759,2442,21,0
3,238,0.780,2613,21,0
3,239,0.669,1813,17,0
3,240,0.738,2185,29,0
3,241,0.738,2057,20,0
3,242,0.733,2164,18,0
3,243,0.759,2201,20,0
3,244,0.811,2101,37,0
3,245,0.730,2446,22,0
3,246,0.758,2342,21,0
3,247,0.715,1957,20,0
3,248,0.746,2252,21,0
3,249,0.714,2335,20,0
3,250,0.829,2391,37,0
4,1,0.754,2073,20,0
4,2,0.733,2020,20,0
4,3,0.744,2094,20,0
4,4,0.739,2274,29,0
4,5,0.759,2346,20,0
4,6,0.773,2361,20,0
4,7,0.708,1534,22,0
4,8,0.747,2533,20,0
4,9,0.704,1626,17,0
4,10,0.747,2326,21,0
4,11,0.696,2366,20,0
4,12,0.759,2193,20,0
4,13,0.720,1903,20,0
4,14,0.750,2245,20,0
4,15,0.756,2345,20,0
4,16,0.756,2270,20,0
4,17,0.764,2373,17,0
4,18,0.772,1931,20,0
4,19,0.776,2079,35,0
4,20,0.752,2337,27,0
4,21,0.736,2038,20,0
4,22,0.717,2311,20,0
4,23,0.712,2165,20,0
4,24,0.731,2530,17,0
4,25,0.743,2002,20,0
4,26,0.697,2112,20,0
4,27,0.695,2049,29,0
4,28,0.781,2551,21,0
4,29,0.671,1943,20,0
4,30,0.793,2782,21,0
4,31,0.702,2115,20,0
4,32,0.659,2323,20,0
4,33,0.672,1929,20,0
4,34,0.699,2354,20,0
4,35,0.797,2781,21,0
4,36,0.747,2319,22,0
4,37,0.724,2269,21,0
4,38,0.769,2301,20,0
4,39,0.653,2499,21,0
4,40,0.696,1807,29,0
4,41,0.691,2392,20,0
4,42,0.782,2259,21,0
4,43,0.764,2474,34,0
4,44,0.755,2263,22,0
4,45,0.747,2176,21,0
4,46,0.765,2318,22,0
4,47,0.797,2588,22,0
4,48,0.768,2345,22,0
4,49,0.598,1962,20,0
4,50,0.753,2179,18,0
4,51,0.700,2231,20,0
4,52,0.770,2157,29,0
4,53,0.690,2058,16,0
4,54,0.723,2001,16,0
4,55,0.734,2147,31,0
4,56,0.755,2251,20,0
4,57,0.759,2414,22,0
4,58,0.746,2134,20,0
4,59,0.706,2300,20,0
4,60,0.744,1645,29,0
4,61,0.728,2039,20,0
4,62,0.763,2608,19,0
4,63,0.690,1754,25,0
4,64,0.770,2252,30,0
4,65,0.718,2148,17,0
4,66,0.758,2251,20,0
4,67,0.735,2218,20,0
4,68,0.755,1997,29,0
4,69,0.697,2061,20,0
4,70,0.740,2187,20,0
4,71,0.746,1823,29,0
4,72,0.719,2262,20,0
4,73,0.744,2776,21,0
4,74,0.711,1925,34,0
4,75,0.763,2311,20,0
4,76,0.724,2260,20,0
4,77,0.761,2350,20,0
4,78,0.774,2535,15,0
4,79,0.762,1893,29,0
4,80,0.721,1962,20,0
4,81,0.781,2326,29,0
4,82,0.812,2235,35,0
4,83,0.722,2025,20,0
4,84,0.759,2160,20,0
4,85,0.775,2434,22,0
4,86,0.791,2571,21,0
4,87,0.771,1887,29,0
4,88,0.739,1752,29,0
4,89,0.689,1639,17,0
4,90,0.707,1979,20,0
4,91,0.757,2282,20,0
4,92,0.787,2390,22,0
4,93,0.775,2395,20,0
4,94,0.788,2752,21,0
4,95,0.777,2439,26,0
4,96,0.729,2063,29,0
4,97,0.743,2546,21,0
4,98,0.723,1739,20,0
4,99,0.711,2124,20,0
4,100,0.711,2200,20,0
4,101,0.745,2163,20,0
4,102,0.760,2297,20,0
4,103,0.728,2037,20,0
4,104,0.738,2226,20,0
4,105,0.777,2283,21,0
4,106,0.753,2237,22,0
4,107,0.729,2352,20,0
4,108,0.774,2462,20,0
4,109,0.710,2176,20,0
4,110,0.719,2321,20,0
4,111,0.749,2019,20,0
4,112,0.729,2188,20,0
4,113,0.759,2237,20,0
4,114,0.744,2107,20,0
4,115,0.808,2124,37,0
4,116,0.721,1982,20,0
4,117,0.733,2433,21,0
4,118,0.744,2099,20,0
4,119,0.794,2217,34,0
4,120,0.736,1952,29,0
4,121,0.772,2362,20,0
4,122,0.773,2515,20,0
4,123,0.702,1994,20,0
4,124,0.750,2299,20,0
4,125,0.774,2575,20,0
4,126,0.688,2103,20,0
4,127,0.762,2702,18,0
4,128,0.744,2127,20,0
4,129,0.716,2238,20,0
4,130,0.688,2432,26,0
4,131,0.778,2238,20,0
4,132,0.730,2366,20,0
4,133,0.785,2477,20,0
4,134,0.698,1787,29,0
4,135,0.775,2492,20,0
4,136,0.747,2155,21,0
4,137,0.760,1989,29,0
4,138,0.742,2253,29,0
4,139,0.765,2217,20,0
4,140,0.762,2246,20,0
4,141,0.747,2322,20,0
4,142,0.706,1955,20,0
4,143,0.776,2332,22,0
4,144,0.775,2468,21,0
4,145,0.799,2747,21,0
4,146,0.765,2221,20,0
4,147,0.763,2259,21,0
4,148,0.724,2324,22,0
4,149,0.760,2390,20,0
4,150,0.716,2139,20,0
4,151,0.757,2214,20,0
4,152,0.745,2155,20,0
4,153,0.740,2224,20,0
4,154,0.751,2110,20,0
4,155,0.684,2057,20,0
4,156,0.758,2335,22,0
4,157,0.717,2024,20,0
4,158,0.708,2078,20,0
4,159,0.775,2702,21,0
4,160,0.732,1924,30,0
4,161,0.734,1852,29,0
4,162,0.668,2075,20,0
4,163,0.782,2466,21,0
4,164,0.802,2418,39,0
4,165,0.754,2206,20,0
4,166,0.650,1787,29,0
4,167,0.741,2126,20,0
4,168,0.702,2322,29,0
4,169,0.747,2272,20,0
4,170,0.771,2422,21,0
4,171,0.738,2043,20,0
4,172,0.748,2024,20,0
4,173,0.788,2507,22,0
4,174,0.761,1698,29,0
4,175,0.671,2183,20,0
4,176,0.748,2128,20,0
4,177,0.741,2027,29,0
4,178,0.639,1954,20,0
4,179,0.763,2297,37,0
